Date,AAPL,HPQ,INTC,MSFT
2004-08-02,31.58,20.37,24.9,28.52
2004-08-03,31.29,20.25,24.17,28.07
2004-08-04,31.79,20.44,23.97,28.06
2004-08-05,31.39,20.5,23.67,27.53
2004-08-06,29.78,19.9,22.77,27.14
2004-08-09,30.3,19.88,22.57,27.18
2004-08-10,31.52,19.95,22.54,27.72
2004-08-11,31.01,19.52,22.16,27.41
2004-08-12,30.37,16.95,21.24,26.88
2004-08-13,30.84,16.5,21.56,27.02
2004-08-16,30.78,16.9,21.42,27.09
2004-08-17,30.87,16.9,21.509,27.05
2004-08-18,31.74,17.53,22.22,27.46
2004-08-19,30.71,17.71,22.01,27.12
2004-08-20,30.8,18.11,21.62,27.2
2004-08-23,31.08,17.88,21.89,27.24
2004-08-24,31.95,17.68,21.67,27.24
2004-08-25,33.05,18.1,21.95,27.55
2004-08-26,34.66,18.19,21.77,27.44
2004-08-27,34.35,18.26,22.02,27.46
2004-08-30,34.12,17.92,21.6,27.3
2004-08-31,34.49,17.89,21.29,27.3
2004-09-01,35.86,17.92,21.43,27.39
2004-09-02,35.66,18.01,21.63,27.62
2004-09-03,35.23,17.7,20.05,27.11
2004-09-07,35.76,17.99,19.89,27.36
2004-09-08,36.35,17.94,19.72,27.26
2004-09-09,35.7,18.12,20.17,27.28
2004-09-10,35.87,18.29,20.57,27.49
2004-09-13,35.59,18.61,20.8,27.25
2004-09-14,35.49,18.4,20.77,27.44
2004-09-15,35.2,18.28,20.42,27.19
2004-09-16,36.35,18.22,20.11,27.26
2004-09-17,37.14,18.11,20.59,27.51
2004-09-20,37.71,18.41,20.92,27.51
2004-09-21,38.01,18.7,21.08,27.26
2004-09-22,36.92,18.62,20.42,27.12
2004-09-23,37.27,18.84,20.38,27.35
2004-09-24,37.29,18.58,20.13,27.29
2004-09-27,37.53,18.4,19.92,27.19
2004-09-28,38.04,18.24,19.68,27.27
2004-09-29,38.68,18.52,20.07,27.58
2004-09-30,38.75,18.75,20.06,27.65
2004-10-01,38.67,19.12,20.85,28.25
2004-10-04,38.79,19.06,21.13,28.12
2004-10-05,39.37,18.98,21.32,28.38
2004-10-06,40.64,19.18,21.13,28.53
2004-10-07,39.62,19.03,21.24,28.17
2004-10-08,39.06,18.56,20.55,27.99
2004-10-11,38.59,18.64,20.61,28.06
2004-10-12,38.29,18.53,20.28,28.03
2004-10-13,39.75,18.9,20.99,28.03
2004-10-14,44.98,18.38,20.51,27.8
2004-10-15,45.5,18.21,20.61,27.99
2004-10-18,47.75,18.25,20.79,28.41
2004-10-19,47.42,18.24,20.8,28.18
2004-10-20,47.47,18.23,21.45,28.699
2004-10-21,47.94,18.36,21.69,28.56
2004-10-22,47.41,17.94,21.3,27.74
2004-10-25,47.55,17.91,21.31,27.63
2004-10-26,47.97,17.86,21.4,27.9
2004-10-27,50.3,18.45,22.0,28.15
2004-10-28,52.19,18.49,22.27,28.01
2004-10-29,52.4,18.66,22.26,27.97
2004-11-01,52.45,18.76,22.44,28.08
2004-11-02,53.5,19.0,22.61,28.24
2004-11-03,55.31,19.0,22.67,28.47
2004-11-04,54.45,19.53,22.88,29.0
2004-11-05,54.72,19.69,23.36,29.31
2004-11-08,54.38,19.81,23.23,29.28
2004-11-09,54.05,19.7,23.08,29.77
2004-11-10,54.75,18.97,22.86,29.73
2004-11-11,55.3,19.25,23.17,29.98
2004-11-12,55.5,19.34,23.69,29.97
2004-11-15,55.24,19.42,23.77,27.39
2004-11-16,54.935,19.68,23.84,27.12
2004-11-17,54.9,20.2,24.32,27.17
2004-11-18,55.39,20.26,24.8,27.07
2004-11-19,55.17,20.08,24.16,26.86
2004-11-22,61.35,20.2,24.1,26.65
2004-11-23,61.27,20.16,23.37,26.53
2004-11-24,64.05,20.14,23.61,26.64
2004-11-26,64.55,20.17,23.21,26.6
2004-11-29,68.44,20.1,23.06,26.77
2004-11-30,67.05,20.0,22.38,26.81
2004-12-01,67.79,20.52,23.1,27.25
2004-12-02,65.21,20.57,22.71,27.09
2004-12-03,62.68,20.99,23.91,27.23
2004-12-06,65.78,21.33,24.01,27.33
2004-12-07,62.89,21.08,23.48,27.07
2004-12-08,63.28,21.02,23.01,27.36
2004-12-09,63.99,20.87,22.76,27.23
2004-12-10,65.15,20.81,22.56,27.08
2004-12-13,64.91,20.7,22.63,27.25
2004-12-14,65.29,20.6,23.24,27.23
2004-12-15,65.26,20.71,23.14,27.11
2004-12-16,66.596,21.05,22.87,27.16
2004-12-17,64.99,20.96,22.77,26.96
2004-12-20,62.72,20.98,22.7,26.95
2004-12-21,63.69,21.21,23.49,27.07
2004-12-22,63.75,21.21,23.45,26.97
2004-12-23,64.01,21.06,23.54,27.01
2004-12-27,63.16,21.09,23.37,26.85
2004-12-28,64.18,21.23,23.28,26.95
2004-12-29,64.44,21.2,23.25,26.9
2004-12-30,64.8,21.13,23.25,26.76
2004-12-31,64.4,20.97,23.39,26.72
2005-01-03,63.29,21.05,23.07,26.74
2005-01-04,63.94,20.91,22.61,26.84
2005-01-05,64.5,21.0,22.39,26.78
2005-01-06,64.55,20.96,22.46,26.75
2005-01-07,69.25,20.84,22.8,26.67
2005-01-10,68.96,20.81,22.88,26.8
2005-01-11,64.56,20.05,22.54,26.73
2005-01-12,65.46,20.04,23.16,26.78
2005-01-13,69.8,19.95,22.82,26.27
2005-01-14,70.2,20.07,23.02,26.12
2005-01-18,70.65,20.43,22.94,26.32
2005-01-19,69.88,20.28,22.6,25.98
2005-01-20,70.46,20.02,22.58,25.86
2005-01-21,70.49,19.99,22.42,25.65
2005-01-24,70.76,19.89,21.99,25.67
2005-01-25,72.05,19.66,22.26,26.02
2005-01-26,72.25,19.59,22.42,26.01
2005-01-27,72.64,19.49,22.31,26.11
2005-01-28,73.98,19.34,22.24,26.18
2005-01-31,76.9,19.59,22.45,26.28
2005-02-01,77.53,19.82,22.6298,26.39
2005-02-02,79.63,19.57,22.58,26.46
2005-02-03,77.81,19.9,22.38,26.18
2005-02-04,78.84,20.45,23.0,26.32
2005-02-07,78.94,20.37,22.91,26.16
2005-02-08,80.9,20.14,23.41,26.24
2005-02-09,78.74,21.53,23.3,26.07
2005-02-10,78.36,21.48,23.5,26.06
2005-02-11,81.21,21.3,24.17,25.97
2005-02-14,84.63,20.77,24.31,26.01
2005-02-15,88.41,21.12,24.47,25.93
2005-02-16,90.13,21.06,24.14,25.79
2005-02-17,87.81,20.86,23.63,25.65
2005-02-18,86.81,21.0,24.02,25.48
2005-02-22,85.29,20.57,23.76,25.23
2005-02-23,88.23,20.36,23.31,25.2
2005-02-24,88.93,20.44,23.7,25.37
2005-02-25,88.99,20.66,24.09,25.25
2005-02-28,44.86,20.8,23.99,25.16
2005-03-01,44.5,20.72,24.62,25.28
2005-03-02,44.121,20.7,24.52,25.26
2005-03-03,41.79,20.81,24.5,25.17
2005-03-04,42.81,20.56,24.68,25.17
2005-03-07,42.75,20.87,25.11,25.47
2005-03-08,40.53,20.92,24.8,25.4
2005-03-09,39.35,20.64,24.84,25.31
2005-03-10,39.83,20.59,24.85,25.43
2005-03-11,40.27,19.94,24.2,25.09
2005-03-14,40.32,20.2,24.27,25.11
2005-03-15,40.96,20.14,23.88,24.91
2005-03-16,41.18,20.22,23.54,24.63
2005-03-17,42.25,20.38,23.41,24.54
2005-03-18,42.96,20.1,23.41,24.31
2005-03-21,43.7,20.15,23.5,24.2
2005-03-22,42.83,20.01,23.02,23.99
2005-03-23,42.55,19.76,23.39,24.18
2005-03-24,42.5,19.81,23.18,24.28
2005-03-28,42.53,19.79,23.3,24.2
2005-03-29,41.75,21.78,23.15,23.92
2005-03-30,42.8,22.0,23.49,24.16
2005-03-31,41.67,21.94,23.23,24.17
2005-04-01,40.89,21.71,23.01,24.12
2005-04-04,41.09,21.91,22.93,24.23
2005-04-05,41.89,21.56,23.13,24.47
2005-04-06,42.33,21.77,23.05,24.67
2005-04-07,43.56,21.8,23.41,25.1
2005-04-08,43.74,21.64,23.29,24.94
2005-04-11,41.92,21.57,23.12,24.97
2005-04-12,42.66,21.71,23.22,25.32
